POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,P4HB,RIPK1,GABRA1
POLB,XRCC1,PARP1,RPA4,BFAR
POLB,PCNA,UBB,TNFRSF1A
POLB,PCNA,RHOF,TIAM1,CARMIL1
POLB,PCNA,PRDX6,SPR,TSHZ3
POLB,XRCC1,PARP2,DISC1,SHROOM2
POLB,PCNA,RHOF,TIAM1,TSPAN12
POLB,H2BC21,PKMYT1,INSRR
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,XRCC1,PARP1,RPA4,RTN3,NDRG4
POLB,PCNA,UBB,TNFRSF1A
POLB,PCNA,IGF1R,ADAMTS4,GNAL
POLB,PCNA,RHOF,TIAM1,EPB41L2
