ATP7B,ATOX1,TAGLN2,CFL1,SPIRE1
ATP7B,copper(1+),SOD1,RNF112,RGP1
ATP7B,ZBTB16,TRAF1,TNFRSF13C,TNFSF14
ATP7B,ZBTB16,GATA1,CEBPE
ATP7B,ZBTB16,HTT,HADHA,GPR35
ATP7B,ZBTB16,ESR1,STOM
ATP7B,ZBTB16,MAP3K3,STUB1,RGS17
ATP7B,ZBTB16,MTDH,CTCF,CNR2,GPR18
ATP7B,NRG1,EGFR,IFIT5
ATP7B,ZBTB16,RSAD2,TRAF6
ATP7B,NRG1,LGR4,ITM2A
ATP7B,ZBTB16,ESR1,STOM
ATP7B,ZBTB16,HDAC4,RFXANK,KCNJ11
ATP7B,ZBTB16,LRIG1,PDGFRA
ATP7B,ZBTB16,MAP3K3,STUB1,KCNK18
ATP7B,ZBTB16,TRIM27,TRIM9,PLPPR4
ATP7B,ZBTB16,LRIG1,PDGFRA,PLXNA3
ATP7B,ZBTB16,FHL3,ROR2
ATP7B,ZBTB16,MTDH,CTCF,IL15RA
ATP7B,ZBTB16,MTDH,CTCF,NCS1,ABHD6
ATP7B,ZBTB16,RARA,MED1,HCN2
ATP7B,ZBTB16,HDAC4,RFXANK,TM9SF2
ATP7B,ZBTB16,HDAC4,RFXANK,ITPRIP
ATP7B,copper(1+),SOD1,RNF112,GRIP2
ATP7B,ZBTB16,FHL5,ZBTB33,KCNMA1,KCNMB1
ATP7B,ZBTB16,TRAF1,TNFRSF13C,MUCL1
ATP7B,copper(1+),SOD2,ENO3,SLC9A7
ATP7B,copper(1+),SOD2,ENO3,RRP8
ATP7B,ZBTB16,NR3C1,ZFX,SLC5A1
ATP7B,ZBTB16,ESR1,STOM
ATP7B,ZBTB16,CEBPA,C1QBP
ATP7B,ATOX1,TAGLN2,CFL1,CSNK1G1
ATP7B,ZBTB16,CEBPA,C1QBP
ATP7B,ZBTB16,MTDH,CTCF,KHDRBS2,NPDC1
ATP7B,GOLGA1,GOLGB1,DNAJC5
ATP7B,copper(1+),SOD1,RNF112,FZD6
ATP7B,NRG1,EGFR,IFIT5
ATP7B,ZBTB16,SMAD3,PPARG,SNX18
ATP7B,ZBTB16,MAP3K3,STUB1,TRPM3
ATP7B,ATOX1,TAGLN2,CFL1,RASGRP1
ATP7B,copper(1+),SOD1,RNF112,VASN
ATP7B,ZBTB16,RAP2A,ANLN,PALM
ATP7B,CLU,DLG4,DRD1
ATP7B,ZBTB16,MTDH,CTCF,EXOC2
ATP7B,NRG1,LGR4,ITM2A
ATP7B,copper(1+),SOD1,RNF112,NKTR
ATP7B,ZBTB16,MTDH,CTCF,CLEC1B
ATP7B,ZBTB16,ESR1,STOM
ATP7B,ZBTB16,HDAC1,RBL2,MPP3
ATP7B,ZBTB16,SUMO1,SENP6,CD320
ATP7B,ZBTB16,MAP3K3,STUB1,GPR37,GPR17
ATP7B,ZBTB16,CEBPA,C1QBP,ACE2,SLC6A19
ATP7B,ZBTB16,SIN3A,NOTCH2,MYADM
ATP7B,ZBTB16,GATA1,CEBPE
ATP7B,ZBTB16,UBE2I,PCGF2,PON2,ASIC4
ATP7B,GOLGA1,ALMS1,DNM3
ATP7B,ZBTB16,MTDH,CTCF,CD3G
ATP7B,ATOX1,ATP7A,OCLN,ABCA3
ATP7B,ZBTB16,MTDH,CTCF,CRB2
ATP7B,NRG1,S100A4,WDFY3
ATP7B,ZBTB16,EZH2,FBXW11,CSF2RA
ATP7B,NRG1,ERBB2,CDH2
ATP7B,ZBTB16,ATP6AP2
ATP7B,ZBTB16,CDK4,EPHA2
ATP7B,NRG1,RHOBTB3,RTN4R
ATP7B,ZBTB16,FHL5,ZBTB33
ATP7B,ZBTB16,MTDH,CTCF,HLA-A
ATP7B,ZBTB16,MAP3K3,STUB1,RRAD
ATP7B,ZBTB16,MAP3K3,STUB1,CASR
ATP7B,copper(1+),SOD1,RNF112,RAP2B
ATP7B,NRG1,CD72
ATP7B,copper(1+),SOD2,ENO3
ATP7B,CLU,DLG4,DRD1
ATP7B,ZBTB16,FHL3,ROR2
ATP7B,ZBTB16,MTDH,CTCF,PI4KA,TTC7B
ATP7B,copper(1+),SOD2,ENO3
ATP7B,GOLGA1,VAMP2
ATP7B,NRG1,RHOBTB3,RTN4R
ATP7B,ZBTB16,SMAD3,PPARG,IL2RA
ATP7B,GOLGA1,VAMP4,STX8,STXBP5L
ATP7B,ZBTB16,MAP3K3,STUB1,LRRC8E
ATP7B,copper(1+),SOD1,RNF112,IL17RA
ATP7B,ZBTB16,HTT,HADHA,MARCHF1
ATP7B,ZBTB16,GATA1,CEBPE
ATP7B,ZBTB16,CDK1,CKS2,GPRC5D
ATP7B,ZBTB16,HTT,HADHA,SNUPN
ATP7B,GOLGA1,CEP192,PRRC2A
ATP7B,ZBTB16,ESR1,STOM
ATP7B,ZBTB16,NR3C1,ZFX,PSTPIP2
ATP7B,CLU,DLG4,DRD1
ATP7B,NRG1,HLA-DPB1,HLA-DPA1
ATP7B,ZBTB16,RSAD2,TRAF6,ZXDC,JTB
ATP7B,NRG1,EGFR,IFIT5
ATP7B,ZBTB16,NR3C1,ZFX,SLC16A13
ATP7B,copper(1+),SOD1,RNF112,PACSIN2
ATP7B,NRG1,TMTC3,NOP56,SLC22A5
ATP7B,ZBTB16,TRAF1,TNFRSF13C
ATP7B,ZBTB16,FHL5,ZBTB33
ATP7B,ZBTB16,ESR1,STOM
ATP7B,NRG1,TUBB3,FBXO25,IL12RB2
ATP7B,ZBTB16,ESR1,STOM
ATP7B,ZBTB16,MTDH,CTCF,HLA-DQB2
ATP7B,ZBTB16,MAP3K3,STUB1,GLP1R
ATP7B,ZBTB16,RARA,MED1,MYO16
ATP7B,GOLGA1,VAMP2,EXOC3,CKAP4
ATP7B,NRG1,EGFR,IFIT5
ATP7B,ZBTB16,HTT,HADHA,OR10H1
ATP7B,ZBTB16,GATA1,CEBPE
ATP7B,copper(1+),SOD1,RNF112,SH3GL2
ATP7B,ATOX1,ATP7A,OCLN
ATP7B,copper(1+),SOD1,RNF112,KIAA1549
ATP7B,ZBTB16,CBX5,ZNF292,ART3
ATP7B,ZBTB16,RARA,MED1,EXTL3
ATP7B,copper(1+),SOD1,RNF112,RAB4B
ATP7B,ZBTB16,VTA1,CHMP1B
ATP7B,ZBTB16,VTA1,CHMP1B
ATP7B,ATOX1,ATP7A,OCLN,CD22
ATP7B,ZBTB16,FHL3,ROR2
ATP7B,copper(1+),SOD1,RNF112,FERMT2
ATP7B,ZBTB16,RARA,MED1,ABHD17A
ATP7B,ZBTB16,ATP6AP2,ATP6V1A
ATP7B,ZBTB16,ESR1,STOM
ATP7B,copper(1+),SOD1,RNF112,RALGAPA2
ATP7B,ZBTB16,FHL5,ZBTB33,KCNMA1
ATP7B,copper(1+),SOD1,RNF112,EFHD2,OR2K2
ATP7B,ZBTB16,MAP3K3,STUB1,TRPV6
ATP7B,ZBTB16,TP53,RAD51,IL6ST,CNTFR
ATP7B,NRG1,EGFR,IFIT5
ATP7B,ZBTB16,MAP3K3,STUB1,TRPM8
ATP7B,copper(1+),SOD1,RNF112,WDR6
ATP7B,ATOX1,TAGLN2,CFL1,RANGRF
ATP7B,CLU,APP
ATP7B,ATOX1,TAGLN2,CFL1,KCMF1
ATP7B,ZBTB16,HDAC1,RBL2,COPRS
ATP7B,ZBTB16,ATP6AP2,ATP6V1A
ATP7B,CLU,IKBKB,PSG1
ATP7B,ZBTB16,MAP3K3,STUB1,SH3BGRL
ATP7B,ZBTB16,MX1,TRPC7
ATP7B,ZBTB16,GATA1,CEBPE
ATP7B,copper(1+),SOD1,RNF112,CD163
ATP7B,NRG1,MGST3,NME3,LYVE1
ATP7B,ZBTB16,NR3C1,ZFX,ELAPOR1
ATP7B,ZBTB16,ESR1,STOM
ATP7B,ZBTB16,EEF1A1,ECPAS,PCDHA5
ATP7B,ZBTB16,KRT40,KPNA2,MPP4
ATP7B,NRG1,ERBB2,CDH2
ATP7B,ZBTB16,CEBPA,C1QBP,TMC7
ATP7B,copper(1+),SOD1,RNF112,AMIGO2
ATP7B,ZBTB16,MAP3K3,STUB1,CASP4
ATP7B,copper(1+),SOD2,ENO3,SMAP1
ATP7B,ZBTB16,VTA1,CHMP1B
ATP7B,NRG1,RHOBTB3,RTN4R
ATP7B,copper(1+),SOD1,RNF112,CD69
ATP7B,copper(1+),SOD2,ENO3,ATXN3
ATP7B,NRG1,EGFR,IFIT5
ATP7B,ZBTB16,HTT,HADHA,KATNB1
ATP7B,ATOX1,TAGLN2,CFL1,DSC1
ATP7B,copper(1+),SOD1,RNF112,ADCY8
ATP7B,NRG1,MYO19,FLNB
ATP7B,ZBTB16,SMAD3,PPARG,NRP1
ATP7B,ZBTB16,TRAF1,TNFRSF13C
ATP7B,ZBTB16,MAP3K3,STUB1,SLC2A12
ATP7B,NRG1,ERBB2,CDH2
ATP7B,copper(1+),SOD1,RNF112,RHBDL2
ATP7B,copper(1+),SOD1,RNF112,SLAMF7
ATP7B,ZBTB16,MAP3K3,STUB1,CXCR1
ATP7B,NRG1,MYO19,FLNB
ATP7B,ZBTB16,HDAC1,RBL2,TIMD4
ATP7B,ZBTB16,SMAD3,PPARG,CD300A
ATP7B,NRG1,EGFR,IFIT5,KSR2
ATP7B,ZBTB16,FHL3,ROR2
ATP7B,CLU,DLG4,DRD1,GRIN3A
ATP7B,ZBTB16,FHL3,ROR2
ATP7B,NRG1,RHOBTB3,RTN4R,ADGRL3,TENM2
ATP7B,ZBTB16,GATA2,SSBP2,DCUN1D3
ATP7B,ZBTB16,RARA,MED1,WHRN
ATP7B,ZBTB16,SMAD3,PPARG,CSF2RB
ATP7B,copper(1+),SOD1,RNF112,CDH3
ATP7B,ZBTB16,REL,EIF5A2,STOML3
ATP7B,ZBTB16,HTT,HADHA,PRAM1
ATP7B,ZBTB16,MTDH,CTCF,YIPF3
ATP7B,ZBTB16,KLK4,KCNIP4
ATP7B,GOLGA1,AHNAK2
ATP7B,ZBTB16,ESR1,STOM
ATP7B,ZBTB16,MAP3K3,STUB1,HTR1D
ATP7B,copper(1+),SOD1,RNF112,SLC12A9
ATP7B,ZBTB16,FHL3,ROR2,ATP10B
ATP7B,ATOX1,ATP7A,OCLN,STK10
ATP7B,GOLGA1,TTC28,IFNLR1
ATP7B,NRG1,EGFR,IFIT5
ATP7B,ZBTB16,CDK1,CKS2,AKAP5
ATP7B,ZBTB16,SMAD3,PPARG,LAIR1
ATP7B,GOLGA1,UNK,SPCS1,RAB3C
ATP7B,ZBTB16,TP53,RAD51,SELL
ATP7B,ZBTB16,MAP3K3,STUB1,PDE4D
ATP7B,copper(1+),SOD1,RNF112,SOCS7
ATP7B,CLU,DLG4
ATP7B,ZBTB16,HTT,HADHA,SYT10
ATP7B,ATOX1,ATP7A,OCLN,TRPV4
ATP7B,ZBTB16,REL,EIF5A2,GRK4
ATP7B,NRG1,EGFR,IFIT5
ATP7B,ZBTB16,MAP3K3,STUB1,MYOF
ATP7B,NRG1,HLA-DPB1,HLA-DPA1
