MT2A,SNCA,EEF1A1,RPL13,PTP4A2
MT2A,SNCA,VAMP2,RHOG,SYT6
MT2A,SNCA,AKT1,VHL
MT2A,SNCA,GABARAPL1,AHNAK2
MT2A,SNCA,HSPA1B,MATR3,B2M
MT2A,SNCA,VAMP2,RHOG,RASGRP4
MT2A,SNCA,PRKCA,AKAP5,NPHS2
MT2A,SNCA,VAMP2,RHOG,OSBPL1A
MT2A,SNCA,VAMP2,RHOG,SLC6A6
MT2A,SNCA,VAMP2,RHOG,GRAMD1B,GRAMD2A
MT2A,SNCA,VAMP2,RHOG,ATP6V0B
MT2A,SNCA,YWHAQ,KSR1,TNFRSF13B
MT2A,SNCA,STX1A,RNF40,DOC2B
MT2A,SNCA,SRC,CRMP1,HTR3A
MT2A,SNCA,AKT1,VHL
MT2A,SNCA,APP,NOTCH4
MT2A,SNCA,GNB2,PFDN2,SSTR2
MT2A,SNCA,HSPA1B,MATR3,C3orf52,SLC23A2
MT2A,SNCA,AKT1,VHL
MT2A,SNCA,APP,NOTCH4
MT2A,SNCA,GNB2,PFDN2,AOC3
MT2A,SNCA,EEF1A1,RPL13,LAPTM5
MT2A,SNCA,NTRK2,FRS2
MT2A,SNCA,GNB2,PFDN2,RGS8
MT2A,SNCA,GNB2,PFDN2,PCDH10
MT2A,SNCA,LYN,PKP4
MT2A,SNCA,HNRNPH1,MSI2,NDC1
MT2A,SNCA,VAMP2,RHOG,DGKQ
MT2A,SNCA,VAMP2,RHOG,COL17A1
MT2A,SNCA,HSPA1B,MATR3,HLA-DPB1
MT2A,SNCA,PRKCA,AKAP5
MT2A,SNCA,HSPA1B,MATR3,B2M,KIR2DL3
MT2A,SNCA,APP,NOTCH4
MT2A,SNCA,SIAH2,UBE2D3,ANXA4
MT2A,SNCA,GNB2,PFDN2,KCNJ4
MT2A,SNCA,RAB8A,EXOC8
MT2A,SNCA,HSPA1B,MATR3,AQP8
MT2A,SNCA,YWHAQ,KSR1,KLRK1,RAET1L
MT2A,SNCA,APP,NOTCH4
MT2A,SNCA,ACTB,SMARCA4,CLDN4
MT2A,SNCA,MAP1LC3B,TBC1D25,MYCBPAP
MT2A,SNCA,VAMP2,RHOG
MT2A,SNCA,DNAAF2,SNAP91,NECAB2
MT2A,SNCA,EEF1A1,RPL13,PI4K2B
MT2A,SNCA,FYN,SLC4A8
MT2A,SNCA,VAMP2,RHOG,SLC39A2
MT2A,SNCA,DYNLL1,THAP10,GSC2,BEST3
MT2A,SNCA,EEF1A1,RPL13,ERMAP
MT2A,SNCA,ACTB,SMARCA4,ZAN
MT2A,SNCA,GSK3B,SMARCA2,RASGEF1B
MT2A,SNCA,NTRK2,FRS2,GNG13
MT2A,SNCA,LRRK2,ZC3H15,SEPHS1
MT2A,SNCA,ACTB,SMARCA4,DPP6
MT2A,SNCA,EEF1A1,RPL13,ADI1
MT2A,SNCA,HSPA4,TRIAP1,TCN2
MT2A,SNCA,SRC,CRMP1,OXER1
MT2A,SNCA,DCLK1,TIAM1
MT2A,SNCA,ACTB,SMARCA4,CLCA4
MT2A,SNCA,HNRNPH1,MSI2,ABCC10
MT2A,SNCA,VAMP2,RHOG,ARHGDIG
MT2A,SNCA,VAMP2,RHOG,HCAR1
MT2A,SNCA,EEF1A1,RPL13,ANKRD39,LANCL2
MT2A,SNCA,GSK3B,SMARCA2,BLVRB
MT2A,SNCA,HSPA5,LOC102723407,CNTNAP3
MT2A,SNCA,FYN,SLC4A8,ROBO4
MT2A,SNCA,GNB2,PFDN2,SYMPK
MT2A,SNCA,HSPA1B,MATR3,AIFM2
MT2A,SNCA,CALM3,TRPV6
MT2A,SNCA,YWHAZ,HDAC9,CSMD3
MT2A,SNCA,SNCAIP,KALRN,PLIN4
MT2A,SNCA,APP,NOTCH4,C9
MT2A,SNCA,LRRK2,ZC3H15,SLC39A14
MT2A,SNCA,HSP90AA1,NR3C2,SHH
MT2A,SNCA,VAMP2,RHOG,SNX15
MT2A,SNCA,CALM3,TRPV6
MT2A,SNCA,SRC,CRMP1,LPAR4
MT2A,SNCA,PRKCA,AKAP5
MT2A,SNCA,VAMP2,RHOG,LRRC8D
MT2A,SNCA,GNB2,PFDN2,CALCRL,RAMP1
MT2A,SNCA,ACTB,SMARCA4,FRMPD2
MT2A,SNCA,VAMP2,RHOG,FRAS1
MT2A,SNCA,VAMP2,RHOG,SCARB2
MT2A,SNCA,GNB2,PFDN2,TRIM4
MT2A,SNCA,DNAJB1,PTPN18,ZACN
MT2A,SNCA,HSPA5,LOC102723407,COL23A1
MT2A,SNCA,HSPA1B,MATR3,PIGR
MT2A,SNCA,ACTB,SMARCA4,KLHL41
MT2A,SNCA,RAB8A,EXOC8
MT2A,SNCA,RAB8A,EXOC8
MT2A,SNCA,ER stress,QRICH1,DAPK3,PAWR
MT2A,SNCA,PPP3CA
MT2A,SNCA,EEF1A1,RPL13,MCC
MT2A,SNCA,VAMP2,RHOG,SCAMP5
MT2A,SNCA,VAMP2,RHOG,SLC6A8
MT2A,SNCA,PRKCD,H1-5,GABRA2
MT2A,SNCA,ER stress,QRICH1
MT2A,SNCA,VAMP2,RHOG,GRID1
MT2A,SNCA,RAB8A,EXOC8
MT2A,SNCA,VAMP2,RHOG,SLC7A1,SLC22A18
MT2A,SNCA,EEF1A1,RPL13,UTP20
MT2A,SNCA,HSPA1B,MATR3,ATP1A2
MT2A,SNCA,HSP90AA1,NR3C2,PI4KA,TTC7B
MT2A,SNCA,VAMP2,RHOG,PARD6B
MT2A,SNCA,VAMP2,RHOG,BMPR2
MT2A,SNCA,VAMP2,RHOG
MT2A,SNCA,VAMP2,RHOG,ATP8B2
MT2A,SNCA,SNAP25,SYT3
MT2A,SNCA,VAMP2,RHOG,VMP1
MT2A,SNCA,GNB2,PFDN2,LEMD2,KCNA10
MT2A,SNCA,GNB2,PFDN2,GHRHR
MT2A,SNCA,SRC,CRMP1,RAPSN
MT2A,SNCA,NTRK2,FRS2
MT2A,SNCA,EEF1A1,RPL13,SHISA5,TVP23B,YIPF1
MT2A,SNCA,FYN,SLC4A8
MT2A,SNCA,GNB2,PFDN2,HTR2B
MT2A,SNCA,GNB2,PFDN2,GPI,PARP14
MT2A,SNCA,VAMP2,RHOG,MTUS1
MT2A,SNCA,GNB2,PFDN2,RIMBP2
MT2A,SNCA,PRKCA,AKAP5
MT2A,SNCA,ER stress,QRICH1
MT2A,SNCA,HSPA1B,MATR3,TENM1
MT2A,SNCA,HSPA1B,MATR3,ABI3,BAIAP2L2
MT2A,SNCA,VAMP2,RHOG,IPO5,DSCAML1
MT2A,SNCA,AKT1,VHL
MT2A,SNCA,APP,NOTCH4,GYPC
MT2A,SNCA,VAMP2,RHOG,NHERF4
MT2A,SNCA,PRKCA,AKAP5
MT2A,SNCA,PRKCD,H1-5,C11orf24
MT2A,SNCA,HSPA1B,MATR3,CACNA1G
MT2A,SNCA,EEF1A1,RPL13,CORO2A,SLC16A8
MT2A,SNCA,VAMP2,RHOG,STOM
MT2A,SNCA,GNB2,PFDN2,MC1R
MT2A,SNCA,HSPA1B,MATR3,P2RX6
MT2A,SNCA,EEF1A1,RPL13,PCDHB12
MT2A,SNCA,EEF1A1,RPL13,IFNAR2
MT2A,SNCA,CALM3,TRPV6
MT2A,SNCA,PRKCA,AKAP5
MT2A,SNCA,HSPA1B,MATR3,CDH7
MT2A,SNCA,VAMP2,RHOG,RTN3,NDRG4
MT2A,SNCA,PPIA,COL1A2,KCNIP4
MT2A,SNCA,HSPA1B,MATR3,IL1R2,MICB
MT2A,SNCA,MAP1LC3B,TBC1D25,CD99
MT2A,SNCA,HSPA1B,MATR3,CLDN2
MT2A,SNCA,AKT1,VHL
MT2A,SNCA,LYN,PKP4
MT2A,SNCA,VAMP2,RHOG
MT2A,SNCA,CALM3,TRPV6
MT2A,SNCA,HSPA1B,MATR3,SIRPB1
MT2A,SNCA,VAMP2,RHOG,FNDC3A,OR6T1
MT2A,SNCA,VAMP2,RHOG,ABCB5
MT2A,SNCA,SIAH2,UBE2D3,CD274,PDCD1,PDCD1LG2
MT2A,SNCA,HSPA1B,MATR3,SERPINB4
MT2A,SNCA,APP,NOTCH4
MT2A,SNCA,RAB8A,EXOC8
MT2A,SNCA,VAMP2,RHOG,RGL1
MT2A,SNCA,HSPA5,LOC102723407,COL25A1
MT2A,SNCA,HSPA1B,MATR3,FCER1G,CD300C
MT2A,SNCA,NTRK2
MT2A,SNCA,RAB8A,EXOC8
MT2A,SNCA,GNB2,PFDN2,KCNJ3
MT2A,SNCA,SNCAIP,KALRN,HMOX2
MT2A,SNCA,SRC,CRMP1,LY96
MT2A,SNCA,EEF1A1,RPL13,KCNA4
MT2A,SNCA,GNB2,PFDN2,CAV3
MT2A,SNCA,HSPA1B,MATR3,TNFRSF10A
MT2A,SNCA,HSP90AA1,NR3C2,CHRNA5,LYPD1
MT2A,SNCA,VAMP2,RHOG,LRP5
MT2A,SNCA,YWHAZ,HDAC9,TMC5
MT2A,SNCA,VAMP2,RHOG,OSBPL2
MT2A,SNCA,SIAH2,UBE2D3,ETV6
MT2A,SNCA,SIAH2,UBE2D3,ZNRF2
MT2A,SNCA,CALM3,TRPV6
MT2A,SNCA,MAP1LC3B,TBC1D25,SLC44A5
MT2A,SNCA,FYN,SLC4A8,LRRC55
MT2A,SNCA,EEF1A1,RPL13,HLA-B
MT2A,SNCA,AKT1,VHL
MT2A,SNCA,AKT1,VHL
MT2A,SNCA,HSPA1B,MATR3,ARRDC4
MT2A,SNCA,FYN,SLC4A8
MT2A,SNCA,ABL1,NAA25,IHH
MT2A,SNCA,ACTB,SMARCA4,NRXN1
MT2A,SNCA,YWHAQ,KSR1,CR1L
MT2A,SNCA,FYN,SLC4A8
MT2A,SNCA,LRRK2,ZC3H15,SLC22A16
MT2A,SNCA,ACTB,SMARCA4,SNTG2
MT2A,SNCA,FYN,SLC4A8
MT2A,SNCA,YWHAQ,KSR1,PI4K2A
MT2A,SNCA,HSP90AA1,NR3C2,PI4KA
MT2A,SNCA,HSP90AA1,NR3C2,EFNA1
MT2A,SNCA,LYN,PKP4
MT2A,SNCA,YWHAQ,KSR1,GUCY2F
MT2A,SNCA,VAMP2,RHOG
MT2A,SNCA,APP,NOTCH4
MT2A,SNCA,VAMP2,RHOG,TGFB1
MT2A,SNCA,HSPA5
MT2A,SNCA,HSPA1B,MATR3,PTPRT
MT2A,SNCA,EEF1A1,RPL13,CPNE7
MT2A,SNCA,FYN,SLC4A8
MT2A,SNCA,DNAAF2,SNAP91,CLDN12
MT2A,SNCA,VAMP2,RHOG
MT2A,SNCA,VAMP2,RHOG,LLGL2
MT2A,SNCA,SNCAIP,KALRN,IFNLR1
MT2A,SNCA,APP,NOTCH4
MT2A,SNCA,HSPA8
MT2A,SNCA,HSPA8,PRKAG3,SLC26A4
MT2A,SNCA,FYN,SLC4A8
MT2A,SNCA,AKT1,VHL
MT2A,SNCA,GNB2,PFDN2,GPR139
MT2A,SNCA,YWHAZ,HDAC9,SLC9A5
MT2A,SNCA,GNB2,PFDN2,CNR1
MT2A,SNCA,VAMP2,RHOG,RTKN2
MT2A,SNCA,HSPA1B,MATR3,IL1RAPL1
MT2A,SNCA,GSK3B,SMARCA2,LTA
MT2A,SNCA,AKT1,VHL
MT2A,SNCA,HSP90AA1,NR3C2,PI4KA,TTC7B
MT2A,SNCA,PRKCD,H1-5,MUC6
MT2A,SNCA,VAMP2,RHOG,ANO8
MT2A,SNCA,AKT1,VHL
MT2A,SNCA,PRKCE,SERPINB9,ICOS
MT2A,SNCA,DNAAF2,SNAP91,CATSPERG
MT2A,SNCA,HSP90AA1,NR3C2,PCDHGA9
MT2A,SNCA,HSPA4,TRIAP1,LRRC45
MT2A,SNCA,VAMP2,RHOG,WASHC2C
MT2A,SNCA,VAMP2,RHOG,PLAAT3
MT2A,SNCA,GNB2,PFDN2,HTR6
MT2A,SNCA,ARSA,ZBTB43,WNT5A
MT2A,SNCA,KLK6,ERICH3,SLC10A4
MT2A,SNCA,HNRNPH1,MSI2,FZD2
MT2A,SNCA,YWHAQ,KSR1,LIM2
MT2A,SNCA,CALM3,TRPV6
MT2A,SNCA,YWHAH
MT2A,SNCA,AKT1,VHL
MT2A,SNCA,SNCAIP,KALRN,KLF9
MT2A,SNCA,ACTB,SMARCA4,RGS9
MT2A,SNCA,VAMP2,RHOG,ENPP6
MT2A,SNCA,HSPA9,AQP12B,COL13A1
MT2A,SNCA,VAMP2,RHOG
MT2A,SNCA,NTRK2,FRS2,GRIN3B
MT2A,SNCA,DYNC1H1,RPGRIP1L
MT2A,SNCA,EEF1A1,RPL13,HAS1
MT2A,SNCA,SLC6A3,NEDD4
MT2A,SNCA,DNAAF2,SNAP91,IL4R,IL2RG
MT2A,SNCA,GNB2,PFDN2,ADGRD1
MT2A,SNCA,VAMP2,RHOG
MT2A,SNCA,FYN,SLC4A8
MT2A,SNCA,GSK3B
MT2A,SNCA,PPP3CA,PARD3B,CABP2
MT2A,SNCA,VAMP2,RHOG,ATP6AP1
MT2A,SNCA,GNB2,PFDN2,AGTR1
MT2A,SNCA,ACTB,SMARCA4,CLDN6
MT2A,SNCA,HSP90AA1,NR3C2,EFNA4
MT2A,SNCA,ARSA,ZBTB43,PCDHGC5
MT2A,SNCA,HSPA1B,MATR3,NLRP6
MT2A,SNCA,EEF1A1,RPL13,IMP4
MT2A,SNCA,HSPA1B,MATR3,ITGAM
MT2A,SNCA,VAMP2,RHOG,GPR50
MT2A,SNCA,LYN,PKP4
MT2A,SNCA,HSPA1B,MATR3,FGB
MT2A,SNCA,CALM3,TRPV6
MT2A,SNCA,VAMP2,RHOG,STXBP2
MT2A,SNCA,PRKCD,H1-5,PAQR6
MT2A,SNCA,ACTB,SMARCA4,KNTC1
